siteName,taxonPercent,siteLatitude,siteLongitude,siteAltitude,siteID,depth,thickness,age,ageOld,ageYoung,ageType,age (Calander Years BP),chronologyID,taxonSum,pollenSum,countedInLevel,totalInLevel,datasetID,datasetType,collectionUnitType,precip1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,tmin1,tmax1,tmean1,tmax2,tmin2,tmean2,tmax3,tmin3,tmean3,tmin4,tmax4,tmean4,tmin5,tmax5,tmean5,tmin6,tmax6,tmean6,tmin7,tmax7,tmean7,tmin8,tmax8,tmean8,tmin9,tmax9,tmean9,tmin10,tmax10,tmean10,tmin11,tmax11,tmean11,tmin12,tmax12,tmean12
Cranberry Glades,43.56435644,38.2,-80.283333,1029,505,641,,50926,,,Radiocarbon years BP,,258,44,101,8,12,518,pollen,Core,83.59999847,75.09999847,114.9000015,134.1999969,171.8000031,186.1999969,233.1000061,225.5,193.6999969,161,122.8000031,100.5999985,-30.34999847,-17.44999886,-23.89999866,-16.59000015,-29.72999954,-23.15999985,-11.25999928,-23.25,-17.25499964,-14.90999985,-3.9599998,-9.434999824,-5.849999905,3.970000029,-0.939999938,1.579999924,10.5199995,6.049999714,5.460000038,13.85999966,9.659999847,4.329999924,12.63000011,8.480000019,-1.439999938,7.279999733,2.919999897,-11.30999947,-0.469999999,-5.889999732,-20.04999924,-8.960000038,-14.50499964,-27.38999939,-15.50999928,-21.44999933
Potato Lake,40.19607843,34.462222,-111.345278,2205,1906,905,1,34597,,,Radiocarbon years BP,,1455,123,306,15,21,3561,pollen,Core,69.09999847,76,73.20000458,36.10000229,15,10.30000019,56.60000229,67.90000153,37.10000229,37.79999924,37.79999924,60.20000076,-7.829999924,6.909999847,-0.460000038,7.659999847,-6.259999752,0.700000048,8.93999958,-4.46999979,2.234999895,-2.119999886,11.75999928,4.819999695,1.149999976,16.52000046,8.835000217,5.119999886,22.75,13.93499994,9.859999657,25.52999878,17.69499922,9.269999504,24.72999954,16.99999952,6.399999619,22.79999924,14.59999943,0.959999979,17.81999969,9.389999837,-4.139999866,11.96999931,3.914999723,-7.639999866,7.75,0.055000067
Potato Lake,41.15853659,34.462222,-111.345278,2205,1906,855,1,32913,,,Radiocarbon years BP,,1455,135,328,21,28,3561,pollen,Core,69.09999847,76,73.20000458,36.10000229,15,10.30000019,56.60000229,67.90000153,37.10000229,37.79999924,37.79999924,60.20000076,-7.829999924,6.909999847,-0.460000038,7.659999847,-6.259999752,0.700000048,8.93999958,-4.46999979,2.234999895,-2.119999886,11.75999928,4.819999695,1.149999976,16.52000046,8.835000217,5.119999886,22.75,13.93499994,9.859999657,25.52999878,17.69499922,9.269999504,24.72999954,16.99999952,6.399999619,22.79999924,14.59999943,0.959999979,17.81999969,9.389999837,-4.139999866,11.96999931,3.914999723,-7.639999866,7.75,0.055000067
Potato Lake,42.94670846,34.462222,-111.345278,2205,1906,730,1,28701,,,Radiocarbon years BP,,1455,137,319,20,26,3561,pollen,Core,69.09999847,76,73.20000458,36.10000229,15,10.30000019,56.60000229,67.90000153,37.10000229,37.79999924,37.79999924,60.20000076,-7.829999924,6.909999847,-0.460000038,7.659999847,-6.259999752,0.700000048,8.93999958,-4.46999979,2.234999895,-2.119999886,11.75999928,4.819999695,1.149999976,16.52000046,8.835000217,5.119999886,22.75,13.93499994,9.859999657,25.52999878,17.69499922,9.269999504,24.72999954,16.99999952,6.399999619,22.79999924,14.59999943,0.959999979,17.81999969,9.389999837,-4.139999866,11.96999931,3.914999723,-7.639999866,7.75,0.055000067
Marl Pond,63.13131313,55.047975,-105.385195,379,11749,450,,28136,28526,27871,Radiocarbon years BP,,9899,125,198,12,13,17715,pollen,Core,4.599999905,3.100000143,4.099999905,6.599999905,13.60000038,43.20000076,60,47.20000076,35.90000153,16.39999962,11.30000019,6,-45.84000015,-39.41999817,-42.62999916,-33.11000061,-44.34000015,-38.72500038,-25.07999992,-42.79999924,-33.93999958,-36.00999832,-16.18000031,-26.09499931,-29.94999886,-9.93999958,-19.94499922,-23.26000023,-6.759999752,-15.00999999,-20.14999962,-5.75,-12.94999981,-24.53999901,-9.840000153,-17.18999958,-32.86000061,-17.70999908,-25.28499985,-38.55999756,-25.43000031,-31.99499893,-43.93000031,-34.39999771,-39.16499901,-45.89999771,-39.23999786,-42.56999779
Marl Pond,78.27868852,55.047975,-105.385195,379,11749,440,,27280,27675,27012,Radiocarbon years BP,,9899,191,244,12,12,17715,pollen,Core,4.599999905,3.100000143,4.099999905,6.599999905,13.60000038,43.20000076,60,47.20000076,35.90000153,16.39999962,11.30000019,6,-45.84000015,-39.41999817,-42.62999916,-33.11000061,-44.34000015,-38.72500038,-25.07999992,-42.79999924,-33.93999958,-36.00999832,-16.18000031,-26.09499931,-29.94999886,-9.93999958,-19.94499922,-23.26000023,-6.759999752,-15.00999999,-20.14999962,-5.75,-12.94999981,-24.53999901,-9.840000153,-17.18999958,-32.86000061,-17.70999908,-25.28499985,-38.55999756,-25.43000031,-31.99499893,-43.93000031,-34.39999771,-39.16499901,-45.89999771,-39.23999786,-42.56999779
Marl Pond,63.93442623,55.047975,-105.385195,379,11749,430,,26439,26838,26170,Radiocarbon years BP,,9899,195,305,14,16,17715,pollen,Core,4.599999905,3.100000143,4.099999905,6.599999905,13.60000038,43.20000076,60,47.20000076,35.90000153,16.39999962,11.30000019,6,-45.84000015,-39.41999817,-42.62999916,-33.11000061,-44.34000015,-38.72500038,-25.07999992,-42.79999924,-33.93999958,-36.00999832,-16.18000031,-26.09499931,-29.94999886,-9.93999958,-19.94499922,-23.26000023,-6.759999752,-15.00999999,-20.14999962,-5.75,-12.94999981,-24.53999901,-9.840000153,-17.18999958,-32.86000061,-17.70999908,-25.28499985,-38.55999756,-25.43000031,-31.99499893,-43.93000031,-34.39999771,-39.16499901,-45.89999771,-39.23999786,-42.56999779
Biggsville [Cessford Quarry],56.48414986,40.855556,-90.88,198,265,550,1,25350,,,Radiocarbon years BP,,101,196,347,8,11,271,pollen,Section,24.10000038,21.39999962,50.29999924,81,98.80000305,111.3000031,107,107.5,141.4000092,98.90000153,61.90000153,32.79999924,-38.05999756,-27.63999939,-32.84999847,-25.17000008,-35.30999756,-30.23999882,-17.44000053,-26.82999992,-22.13500023,-16.40999985,-7.569999695,-11.98999977,-5.929999828,2.029999971,-1.949999928,3.669999838,11.19999981,7.434999824,7.609999657,15.10999966,11.35999966,4.949999809,12.30000019,8.625,-4.019999981,3.879999876,-0.070000052,-14.96000004,-6.319999695,-10.63999987,-25.8599987,-17.42000008,-21.63999939,-34.22999954,-25.37999916,-29.80499935
Biggsville [Cessford Quarry],75.52238806,40.855556,-90.88,198,265,545,1,24953,,,Radiocarbon years BP,,101,253,335,5,8,271,pollen,Section,24.10000038,21.39999962,50.29999924,81,98.80000305,111.3000031,107,107.5,141.4000092,98.90000153,61.90000153,32.79999924,-38.05999756,-27.63999939,-32.84999847,-25.17000008,-35.30999756,-30.23999882,-17.44000053,-26.82999992,-22.13500023,-16.40999985,-7.569999695,-11.98999977,-5.929999828,2.029999971,-1.949999928,3.669999838,11.19999981,7.434999824,7.609999657,15.10999966,11.35999966,4.949999809,12.30000019,8.625,-4.019999981,3.879999876,-0.070000052,-14.96000004,-6.319999695,-10.63999987,-25.8599987,-17.42000008,-21.63999939,-34.22999954,-25.37999916,-29.80499935
Marl Pond,40.82840237,55.047975,-105.385195,379,11749,410,,24798,25204,24536,Radiocarbon years BP,,9899,69,169,11,13,17715,pollen,Core,4.599999905,3.100000143,4.099999905,6.599999905,13.60000038,43.20000076,60,47.20000076,35.90000153,16.39999962,11.30000019,6,-45.84000015,-39.41999817,-42.62999916,-33.11000061,-44.34000015,-38.72500038,-25.07999992,-42.79999924,-33.93999958,-36.00999832,-16.18000031,-26.09499931,-29.94999886,-9.93999958,-19.94499922,-23.26000023,-6.759999752,-15.00999999,-20.14999962,-5.75,-12.94999981,-24.53999901,-9.840000153,-17.18999958,-32.86000061,-17.70999908,-25.28499985,-38.55999756,-25.43000031,-31.99499893,-43.93000031,-34.39999771,-39.16499901,-45.89999771,-39.23999786,-42.56999779
Biggsville [Cessford Quarry],82.20338983,40.855556,-90.88,198,265,540,1,24556,,,Radiocarbon years BP,,101,291,354,8,10,271,pollen,Section,24.10000038,21.39999962,50.29999924,81,98.80000305,111.3000031,107,107.5,141.4000092,98.90000153,61.90000153,32.79999924,-38.05999756,-27.63999939,-32.84999847,-25.17000008,-35.30999756,-30.23999882,-17.44000053,-26.82999992,-22.13500023,-16.40999985,-7.569999695,-11.98999977,-5.929999828,2.029999971,-1.949999928,3.669999838,11.19999981,7.434999824,7.609999657,15.10999966,11.35999966,4.949999809,12.30000019,8.625,-4.019999981,3.879999876,-0.070000052,-14.96000004,-6.319999695,-10.63999987,-25.8599987,-17.42000008,-21.63999939,-34.22999954,-25.37999916,-29.80499935
Arrington Marsh,40.49079755,39.495,-95.526667,280,213,753,,24404,,,Radiocarbon years BP,,45,198,489,27,29,214,pollen,Core,15.90000057,22,53.10000229,83.5,92.59999847,72.30000305,48.90000153,69.80000305,109.2000046,94.70000458,54.70000076,28.20000076,-35.29999924,-23.43000031,-29.36499977,-20.22999954,-31.40999985,-25.81999969,-12.89999962,-22.39999962,-17.64999962,-11.21999931,-3.199999809,-7.209999561,-0.529999971,6.670000076,3.070000052,8.630000114,16.79999924,12.71499968,12.55000019,21.85000038,17.20000029,10.06999969,19.29999924,14.68499947,1.059999943,9.800000191,5.430000067,-10.53999996,-1.439999938,-5.98999995,-22.47999954,-13.02999973,-17.75499964,-31.63999939,-21.17000008,-26.40499973
