siteName,siteLatitude,siteLongitude,siteAltitude,siteID,depth,thickness,age,ageOld,ageYoung,ageType,chronologyID,taxonPercent,taxonSum,pollenSum,countedInLevel,totalInLevel,datasetID,datasetType,collectionUnitType,collectionUnitHandle,collectionUnitID,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,tmin1,tmin2,tmin3,tmin4,tmin5,tmin6,tmin7,tmin8,tmin9,tmin10,tmin11,tmin12,tmax1,tmax2,tmax3,tmax4,tmax5,tmax6,tmax7,tmax8,tmax9,tmax10,tmax11,tmax12
Balsam Meadow,37.195833,-119.260278,2015.0,226,244.0,,9780.0,,,Radiocarbon years BP,61,0.263157894737,1.0,380.0,22,26,228,pollen,Core,BALSAMMD,226,160.699996948,142.800003052,124.5,73.2000045776,40.2000007629,14.6999998093,13.1999998093,10.6000003815,21.3999996185,64.0999984741,107.5,159.699996948,-7.31999969482,-6.51999998093,-5.15999984741,-2.78999996185,1.69999992847,5.90000009537,9.61999988556,8.31999969482,4.36999988556,-0.259999990463,-4.92000007629,-7.44999980927,8.01000022888,9.06999969482,10.4200000763,13.8699998856,19.9399986267,27.0100002289,32.3499984741,30.7899990082,25.5699996948,18.9899997711,12.2899999619,8.46000003815
Exchequer Meadow,37.0,-119.833333,2219.0,794,312.0,1.0,10321.0,,,Radiocarbon years BP,379,2.40700218818,11.0,457.0,23,28,816,pollen,Core,EXCHEQUE,793,59.4000015259,59.4000015259,65.3000030518,31.8999996185,8.9000005722,1.5,0.0,0.0,4.2000002861,19.7000007629,36.2999992371,49.2000007629,2.30999994278,4.15000009537,5.81999969482,7.85999965668,11.6700000763,15.1300001144,18.0100002289,16.4699993134,13.0,8.34000015259,3.63999986649,1.84999990463,11.8400001526,15.3699998856,17.9400005341,22.0900001526,28.0699996948,34.3600006104,38.5900001526,36.5799980164,31.1599998474,23.9899997711,16.3999996185,11.3599996567
Exchequer Meadow,37.0,-119.833333,2219.0,794,333.0,1.0,11016.0,,,Radiocarbon years BP,379,1.34099616858,7.0,522.0,23,30,816,pollen,Core,EXCHEQUE,793,54.1000022888,50.1000022888,48.9000015259,26.8999996185,10.3000001907,2.40000009537,0.0,0.0,4.90000009537,17.0,28.0,42.2000007629,2.48000001907,4.28999996185,5.69999980927,7.64999961853,11.6399993896,15.4099998474,18.3500003815,16.5200004578,12.5500001907,7.64999961853,3.1099998951,1.74000000954,11.5199995041,15.1700000763,17.8999996185,22.0900001526,27.9699993134,34.0699996948,38.1499977112,36.1199989319,30.7600002289,23.6399993896,16.0499992371,10.9899997711
Exchequer Meadow,37.0,-119.833333,2219.0,794,340.0,1.0,11248.0,,,Radiocarbon years BP,379,0.460829493088,2.0,434.0,18,27,816,pollen,Core,EXCHEQUE,793,53.2999992371,53.1000022888,58.6000022888,34.9000015259,13.5,3.0,0.0,0.0,6.0,20.6000003815,31.3000011444,42.6000022888,2.75,4.2999997139,5.32999992371,7.05999994278,11.1099996567,15.1599998474,18.3099994659,16.5200004578,12.4699993134,7.57999992371,3.17999982834,2.01999998093,12.4899997711,15.6899995804,17.4799995422,21.1700000763,27.2999992371,34.1399993896,38.6100006104,36.3099975586,30.3099994659,22.9699993134,15.8599996567,11.6300001144
Goff Lake,44.4525,-109.838611,1996.0,936,110.0,,142.0,,,Radiocarbon years BP,441,0.45045045045,1.0,222.0,22,24,965,pollen,Core,GOFF,935,48.5,34.2000007629,40.2000007629,45.6000022888,51.6000022888,52.6000022888,29.5,37.0,40.0,40.4000015259,37.4000015259,41.2000007629,-15.9799995422,-15.1799993515,-13.1899995804,-8.13999938965,-2.87999987602,0.709999978542,4.07999992371,3.14999985695,-1.15999996662,-5.27999973297,-11.4099998474,-14.6999998093,-3.8599998951,-2.69000005722,-0.469999998808,5.07999992371,11.2399997711,16.3500003815,21.1800003052,20.2799987793,14.5599994659,8.36999988556,0.759999990463,-2.58999991417
Swamp Lake,37.95,-119.816667,1554.0,2529,9.6,1.0,161.0,,,Radiocarbon years BP,1225,0.24154589372,1.0,414.0,13,17,2619,pollen,Core,SWAMPLK,2528,185.199996948,173.5,151.800003052,87.3000030518,48.7999992371,21.1000003815,9.0,8.5,19.6000003815,56.5,112.200004578,162.600006104,-5.0,-3.99000000954,-2.87999987602,-1.12000000477,2.16999983788,5.90999984741,8.93999958038,7.75,4.34999990463,0.370000004768,-3.39999985695,-5.2999997139,8.89999961853,10.6199998856,12.529999733,15.5799999237,20.1700000763,25.6499996185,30.4299983978,29.3299999237,25.8499984741,20.4300003052,14.1399993896,9.69999980927
Swamp Lake,37.95,-119.816667,1554.0,2529,200.0,1.0,3218.0,,,Radiocarbon years BP,1225,0.284090909091,1.0,352.0,13,15,2619,pollen,Core,SWAMPLK,2528,229.600006104,213.699996948,163.600006104,81.0,40.4000015259,16.3000011444,6.5,5.90000009537,13.6000003815,42.2999992371,98.8000030518,176.5,-5.65000009537,-4.78999996185,-3.65999984741,-1.82999992371,1.49000000954,5.25999975204,8.47000026703,7.58999967575,4.50999975204,0.639999985695,-3.31999993324,-5.61999988556,8.05000019073,9.55999946594,11.4699993134,14.7699995041,19.7899990082,25.7699985504,30.9499988556,30.0299987793,26.4799995422,20.7899990082,14.0999994278,9.21000003815
Swamp Lake,37.95,-119.816667,1554.0,2529,611.0,1.0,10605.0,,,Radiocarbon years BP,1225,0.220750551876,1.0,453.0,18,24,2619,pollen,Core,SWAMPLK,2528,206.600006104,193.900009155,175.800003052,99.8000030518,52.7000007629,21.7000007629,9.30000019073,9.30000019073,23.7000007629,73.9000015259,145.800003052,193.400009155,-7.21000003815,-6.03999996185,-4.52999973297,-2.04999995232,2.15999984741,6.73999977112,10.0699996948,8.5,4.19000005722,-0.719999969006,-5.19000005722,-7.42999982834,6.69000005722,8.57999992371,10.4699993134,14.1399993896,20.0799999237,27.0599994659,32.2299995422,30.0399990082,24.5299987793,17.5699996948,10.8599996567,6.96000003815
Browns Island,38.04217,-121.86795,0.0,9795,10.0,1.0,27.0,128.0,-34.0,Calibrated radiocarbon years BP,7671,0.8,1.0,125.0,13,20,14491,pollen,Core,BROWNS,11057,124.900001526,100.5,59.7000007629,28.2000007629,13.1000003815,6.0,1.30000007153,1.70000004768,5.30000019073,21.5,41.9000015259,90.8000030518,3.25999999046,4.85999965668,6.17000007629,7.27999973297,9.48999977112,11.75,13.029999733,12.6799993515,11.7399997711,9.05999946594,5.44999980927,3.32999992371,12.3299999237,15.7999992371,18.5900001526,22.0,25.9599990845,29.8299999237,32.5,31.9399986267,30.1199989319,25.2299995422,18.2299995422,12.8199996948
Browns Island,38.04217,-121.86795,0.0,9795,35.0,1.0,220.0,347.0,99.0,Calibrated radiocarbon years BP,7671,0.442477876106,1.0,226.0,12,18,14491,pollen,Core,BROWNS,11057,110.0,94.7000045776,63.7999992371,29.8000011444,12.0,4.7000002861,1.0,1.30000007153,4.90000009537,22.8000011444,44.6000022888,85.3000030518,3.11999988556,4.88000011444,6.32999992371,7.51999998093,9.73999977112,11.9399995804,13.0799999237,12.5500001907,11.4299993515,8.65999984741,5.0499997139,3.03999996185,12.1399993896,15.6899995804,18.5200004578,21.9899997711,26.0199985504,29.9499988556,32.5699996948,31.859998703,29.8199996948,24.7899990082,17.7999992371,12.5
